Processing /home/gridsan/akolodziej/TED/ted_365m.domain_summary.cath.globularity.taxid.tsv
Output will be written to outputs/nested_domain_pairs_validations.tsv
Processed 1420000 lines, found 1366 nested pairs, skipped 272531 low quality
Processed 1430000 lines, found 1366 nested pairs, skipped 274582 low quality
Processed 1440000 lines, found 1367 nested pairs, skipped 276720 low quality
Processed 1450000 lines, found 1369 nested pairs, skipped 278978 low quality
Processed 1460000 lines, found 1370 nested pairs, skipped 281114 low quality
Processed 1470000 lines, found 1371 nested pairs, skipped 283398 low quality
Processed 1480000 lines, found 1372 nested pairs, skipped 285575 low quality
Processed 1490000 lines, found 1380 nested pairs, skipped 287606 low quality
Processed 1500000 lines, found 1388 nested pairs, skipped 289305 low quality
Processed 1510000 lines, found 1388 nested pairs, skipped 290190 low quality
Processed 1520000 lines, found 1396 nested pairs, skipped 292356 low quality
Processed 1530000 lines, found 1403 nested pairs, skipped 294473 low quality
Processed 1540000 lines, found 1411 nested pairs, skipped 296546 low quality
Processed 1550000 lines, found 1414 nested pairs, skipped 298666 low quality
Processed 1560000 lines, found 1441 nested pairs, skipped 300842 low quality
Processed 1570000 lines, found 1460 nested pairs, skipped 302864 low quality
Processed 1580000 lines, found 1464 nested pairs, skipped 304792 low quality
Processed 1590000 lines, found 1470 nested pairs, skipped 306758 low quality
Processed 1600000 lines, found 1471 nested pairs, skipped 308836 low quality
Processed 1610000 lines, found 1471 nested pairs, skipped 310828 low quality
Processed 1620000 lines, found 1525 nested pairs, skipped 313076 low quality
Processed 1630000 lines, found 1550 nested pairs, skipped 315299 low quality
Processed 1640000 lines, found 1562 nested pairs, skipped 317495 low quality
Processed 1650000 lines, found 1566 nested pairs, skipped 319636 low quality
Processed 1660000 lines, found 1572 nested pairs, skipped 321476 low quality
Processed 1670000 lines, found 1582 nested pairs, skipped 323343 low quality
Processed 1680000 lines, found 1591 nested pairs, skipped 325101 low quality
Processed 1690000 lines, found 1591 nested pairs, skipped 325763 low quality
Processed 1700000 lines, found 1598 nested pairs, skipped 327474 low quality
Processed 1710000 lines, found 1613 nested pairs, skipped 329452 low quality
Processed 1720000 lines, found 1613 nested pairs, skipped 331091 low quality
Processed 1730000 lines, found 1643 nested pairs, skipped 333254 low quality
Processed 1740000 lines, found 1654 nested pairs, skipped 335325 low quality
Processed 1750000 lines, found 1660 nested pairs, skipped 336679 low quality
Processed 1760000 lines, found 1670 nested pairs, skipped 338784 low quality
Processed 1770000 lines, found 1679 nested pairs, skipped 340883 low quality
Processed 1780000 lines, found 1687 nested pairs, skipped 342648 low quality
Processed 1790000 lines, found 1687 nested pairs, skipped 344168 low quality
Processed 1800000 lines, found 1689 nested pairs, skipped 345795 low quality
Processed 1810000 lines, found 1690 nested pairs, skipped 347578 low quality
Processed 1820000 lines, found 1694 nested pairs, skipped 349473 low quality
Processed 1830000 lines, found 1699 nested pairs, skipped 351495 low quality
Processed 1840000 lines, found 1702 nested pairs, skipped 353578 low quality
Processed 1850000 lines, found 1702 nested pairs, skipped 355605 low quality
Processed 1860000 lines, found 1703 nested pairs, skipped 357553 low quality
Processed 1870000 lines, found 1704 nested pairs, skipped 359506 low quality
Processed 1880000 lines, found 1705 nested pairs, skipped 361294 low quality
Processed 1890000 lines, found 1706 nested pairs, skipped 362906 low quality
Processed 1900000 lines, found 1719 nested pairs, skipped 365066 low quality
Processed 1910000 lines, found 1728 nested pairs, skipped 367069 low quality
Processed 1920000 lines, found 1732 nested pairs, skipped 369032 low quality
Processed 1930000 lines, found 1736 nested pairs, skipped 370973 low quality
Processed 1940000 lines, found 1745 nested pairs, skipped 372833 low quality
Processed 1950000 lines, found 1748 nested pairs, skipped 374399 low quality
Processed 1960000 lines, found 1748 nested pairs, skipped 376303 low quality
Processed 1970000 lines, found 1748 nested pairs, skipped 378190 low quality
Processed 1980000 lines, found 1748 nested pairs, skipped 380172 low quality
Processed 1990000 lines, found 1748 nested pairs, skipped 382124 low quality
Processed 2000000 lines, found 1748 nested pairs, skipped 383982 low quality
Processed 2010000 lines, found 1751 nested pairs, skipped 385950 low quality
Processed 2020000 lines, found 1753 nested pairs, skipped 388033 low quality
Processed 2030000 lines, found 1754 nested pairs, skipped 389968 low quality
Processed 2040000 lines, found 1757 nested pairs, skipped 392066 low quality
Processed 2050000 lines, found 1758 nested pairs, skipped 393738 low quality
Processed 2060000 lines, found 1762 nested pairs, skipped 395403 low quality
Processed 2070000 lines, found 1772 nested pairs, skipped 397586 low quality
Processed 2080000 lines, found 1786 nested pairs, skipped 399303 low quality
Processed 2090000 lines, found 1799 nested pairs, skipped 401065 low quality
Processed 2100000 lines, found 1805 nested pairs, skipped 403001 low quality
Processed 2110000 lines, found 1830 nested pairs, skipped 405030 low quality
Processed 2120000 lines, found 1836 nested pairs, skipped 406833 low quality
Processed 2130000 lines, found 1838 nested pairs, skipped 408371 low quality
Processed 2140000 lines, found 1840 nested pairs, skipped 410015 low quality
Processed 2150000 lines, found 1855 nested pairs, skipped 412204 low quality
Processed 2160000 lines, found 1876 nested pairs, skipped 414265 low quality
Processed 2170000 lines, found 1901 nested pairs, skipped 416443 low quality
Processed 2180000 lines, found 1921 nested pairs, skipped 418506 low quality
Processed 2190000 lines, found 1934 nested pairs, skipped 420659 low quality
Processed 2200000 lines, found 1944 nested pairs, skipped 422766 low quality
Processed 2210000 lines, found 1951 nested pairs, skipped 424574 low quality
Processed 2220000 lines, found 1960 nested pairs, skipped 426466 low quality
