Starting TSV processing...
Reading TSV file: outputs/uniref50_nested_domain_pairs.tsv
Dataset shape: (129170, 7)
Columns: ['uniprot_id', 'parent_ted', 'parent_boundaries', 'parent_cath', 'insert_ted', 'insert_boundaries', 'insert_cath']
Found 467 unique insert_cath values
Insert CATH: 3.90.190.10 -> 1 unique parent CATHs
Insert CATH: 3.30.1120.30 -> 1 unique parent CATHs
Insert CATH: 2.40.240.10 -> 2 unique parent CATHs
Insert CATH: 2.60.60.20 -> 1 unique parent CATHs
Insert CATH: 1.20.58.530 -> 1 unique parent CATHs
Insert CATH: 2.30.30.40 -> 3 unique parent CATHs
Insert CATH: 3.30.1360.180 -> 1 unique parent CATHs
Insert CATH: 2.60.40.1610 -> 1 unique parent CATHs
Insert CATH: 2.60.40.150 -> 2 unique parent CATHs
Insert CATH: 3.30.70.250 -> 1 unique parent CATHs
Insert CATH: 3.30.1510.10 -> 1 unique parent CATHs
Insert CATH: 3.90.105.20 -> 1 unique parent CATHs
Insert CATH: 1.10.441.10 -> 1 unique parent CATHs
Insert CATH: 2.40.50.100 -> 3 unique parent CATHs
Insert CATH: 1.10.10.520 -> 1 unique parent CATHs
Insert CATH: 1.10.287.620 -> 4 unique parent CATHs
Insert CATH: 3.30.70.1150 -> 1 unique parent CATHs
Insert CATH: 3.10.100.10 -> 2 unique parent CATHs
Insert CATH: 2.170.190.11 -> 1 unique parent CATHs
Insert CATH: 3.40.1820.20 -> 1 unique parent CATHs
Insert CATH: 1.10.238.10 -> 1 unique parent CATHs
Insert CATH: 3.30.70.100 -> 3 unique parent CATHs
Insert CATH: 1.10.10.2660 -> 1 unique parent CATHs
Insert CATH: 3.30.70.2740 -> 1 unique parent CATHs
Insert CATH: 2.40.50.140 -> 6 unique parent CATHs
Insert CATH: 2.170.130.10 -> 3 unique parent CATHs
Insert CATH: 3.90.220.20 -> 1 unique parent CATHs
Insert CATH: 3.30.70.2030 -> 1 unique parent CATHs
Insert CATH: 3.30.720.110 -> 2 unique parent CATHs
Insert CATH: 1.25.40.10 -> 5 unique parent CATHs
Insert CATH: 1.10.274.10 -> 1 unique parent CATHs
Insert CATH: 3.40.960.10 -> 4 unique parent CATHs
Insert CATH: 3.10.20.690 -> 2 unique parent CATHs
Insert CATH: 3.40.50.12780 -> 2 unique parent CATHs
Insert CATH: 3.30.70.1430 -> 2 unique parent CATHs
Insert CATH: 3.90.10.10 -> 1 unique parent CATHs
Insert CATH: 2.30.29.80 -> 1 unique parent CATHs
Insert CATH: 3.40.50.11540 -> 2 unique parent CATHs
Insert CATH: 2.60.130.10 -> 1 unique parent CATHs
Insert CATH: 2.40.240.50 -> 1 unique parent CATHs
Insert CATH: 2.100.10.30 -> 1 unique parent CATHs
Insert CATH: 2.40.33.10 -> 5 unique parent CATHs
Insert CATH: 3.30.465.10 -> 1 unique parent CATHs
Insert CATH: 3.40.190.190 -> 1 unique parent CATHs
Insert CATH: 2.60.40.3080 -> 1 unique parent CATHs
Insert CATH: 2.60.40.2190 -> 1 unique parent CATHs
Insert CATH: 2.60.98.20 -> 1 unique parent CATHs
Insert CATH: 3.90.1510.10 -> 1 unique parent CATHs
Insert CATH: 3.30.420.200 -> 1 unique parent CATHs
Insert CATH: 2.30.30.100 -> 2 unique parent CATHs
Insert CATH: 2.70.170.10 -> 1 unique parent CATHs
Insert CATH: 3.30.70.20 -> 3 unique parent CATHs
Insert CATH: 2.60.40.2550 -> 2 unique parent CATHs
Insert CATH: 2.40.30.260 -> 1 unique parent CATHs
Insert CATH: 3.20.80.10 -> 1 unique parent CATHs
Insert CATH: 3.30.9.80 -> 1 unique parent CATHs
Insert CATH: 3.30.70.1400 -> 1 unique parent CATHs
Insert CATH: 2.40.10.10 -> 1 unique parent CATHs
Insert CATH: 1.10.3590.10 -> 1 unique parent CATHs
Insert CATH: 2.60.320.10 -> 1 unique parent CATHs
Insert CATH: 1.10.8.160 -> 1 unique parent CATHs
Insert CATH: 3.30.70.340 -> 1 unique parent CATHs
Insert CATH: 3.30.230.10 -> 3 unique parent CATHs
Insert CATH: 2.70.98.40 -> 1 unique parent CATHs
Insert CATH: 1.10.1020.10 -> 1 unique parent CATHs
Insert CATH: 2.60.310.10 -> 1 unique parent CATHs
Insert CATH: 3.10.350.10 -> 1 unique parent CATHs
Insert CATH: 1.20.1440.30 -> 1 unique parent CATHs
Insert CATH: 3.90.1720.10 -> 1 unique parent CATHs
Insert CATH: 1.10.1780.10 -> 1 unique parent CATHs
Insert CATH: 1.10.579.10 -> 1 unique parent CATHs
Insert CATH: 2.40.128.280 -> 1 unique parent CATHs
Insert CATH: 2.60.120.1560 -> 2 unique parent CATHs
Insert CATH: 2.60.40.4070 -> 2 unique parent CATHs
Insert CATH: 2.60.40.1930 -> 2 unique parent CATHs
